surname,customer_id,country,age,gender,balance,num_products,tenure,credit_card,active_member,credit_score,salary,churn
McChesney,15710928,France,55,Female,136354.16,1,8,1,1,665,93769.89,0
Lucchese,15682547,France,38,Male,122214,1,1,0,1,649,88965.46,0
Clements,15631170,France,45,Male,0,2,3,1,1,695,30793.61,0
Yuriev,15648702,Germany,70,Male,119684.88,2,6,1,1,775,74532.02,0
Endrizzi,15783444,France,39,Female,135139.33,1,3,0,1,788,113086.08,0
Pan,15809178,Germany,42,Female,146100.75,1,9,1,0,569,32574.01,1
Manfrin,15806688,Spain,56,Female,123110.9,3,8,0,1,726,130113.78,1
Kennedy,15576824,Germany,44,Female,111760.4,3,3,1,1,564,104722.47,1
Conway,15675422,France,32,Female,110728.39,1,9,1,1,544,14559.62,0
Lablanc,15681550,France,41,Female,121558.46,1,8,1,1,614,598.8,0
Dodd,15812628,Germany,38,Female,120623.21,1,8,1,0,453,129697.99,0
Muir,15597951,France,58,Female,114713.57,1,4,1,1,471,36315.03,0
Milanesi,15807045,Germany,37,Female,103457.76,1,3,0,0,829,1114.12,0
Shen,15581748,Germany,57,Male,101134.87,2,2,1,1,754,70954.41,0
Dillon,15770420,Germany,46,Male,78136.36,2,10,1,1,749,73470.98,0
Hoelscher,15608230,France,23,Male,0,2,1,1,0,667,91573.19,0
Bell,15730339,Spain,30,Male,133446.34,1,3,0,0,670,3154.95,0
Liao,15712584,France,33,Female,0,2,7,1,1,670,88187.81,0
Udokamma,15592816,Germany,48,Female,108076.33,1,1,1,0,623,118855.26,1
Sinnett,15641480,France,32,Male,131354.25,1,5,1,0,571,125256.53,0
Palerma,15708505,Germany,37,Female,62974.64,2,7,0,1,641,39016.43,0
Chimaijem,15791131,Germany,30,Female,143340.44,1,2,1,0,551,145796.49,0
Porter,15618225,Germany,36,Male,116993.43,2,8,1,0,741,168816.22,0
Fan,15644724,France,31,Male,58662.92,2,4,0,1,472,73322,0
Palmer,15662098,Spain,41,Male,128808.65,3,3,0,0,650,113677.53,1
Younger,15723894,France,45,Male,137555.44,1,7,0,0,625,124607.7,0
Burke,15787699,Germany,34,Male,142393.11,1,4,1,1,650,11276.48,0
Nwagugheuzo,15687738,France,38,Female,0,2,8,1,0,535,136620.64,0
Young,15576126,France,41,Female,125785.23,1,2,1,1,649,70523.92,0
Watson,15658889,France,22,Male,136444.25,1,4,1,0,689,51980.25,1
Tseng,15667046,Spain,38,Male,121527.4,1,7,1,0,694,113481.02,0
Drake,15669957,Germany,52,Male,144696.75,1,9,1,1,655,49025.79,0
Hanna,15655794,France,36,Male,0,2,8,1,1,620,145937.99,0
Padovesi,15599829,France,35,Female,0,2,10,1,1,577,25161.61,0
Loftus,15753332,Germany,48,Male,128140.17,1,8,1,0,401,175753.55,1
Buccho,15671124,France,25,Male,120383.41,1,6,1,1,599,24903.09,0
Lorenzo,15767474,France,57,Female,0,3,9,1,1,481,169719.35,1
Ibezimako,15720671,France,42,Male,129735.3,2,8,1,1,704,179565.57,0
Wei,15626787,Spain,31,Female,185078.26,1,8,0,0,698,115337.74,1
Ross,15774491,France,28,Female,0,2,6,0,0,480,48131.92,0
Oluchukwu,15579647,France,42,Male,0,1,0,1,1,682,160828.98,0
Walker,15625522,Spain,31,Male,0,2,7,0,1,700,145151.96,0
Wu,15765806,France,29,Male,144591.96,1,1,1,1,492,196293.76,0
Chidalu,15566708,France,45,Female,0,2,4,1,0,444,161653.5,1
Ingram,15668347,France,36,Male,0,2,6,0,0,624,84635.64,0
Ch'en,15575214,France,37,Male,0,1,7,1,0,709,159486.76,0
Iredale,15591123,Germany,68,Male,100194.44,1,2,1,1,557,38596.34,0
Gallagher,15573280,Germany,50,Male,145295.31,2,6,1,1,646,27814.74,0
Padilla,15589018,Germany,28,Male,106070.29,2,3,1,1,719,183893.31,0
Potter,15654495,Germany,47,Female,120621.89,1,6,1,1,706,140803.7,0
Mao,15597265,France,38,Male,0,2,7,0,1,660,146585.53,0
Schneider,15733876,France,36,Male,0,2,9,1,1,667,40062.29,0
Ibragimova,15677217,France,30,Male,0,1,1,1,1,705,181300.32,0
Huang,15747265,Germany,27,Female,171283.91,1,10,1,1,598,84136.12,0
Anderson,15713379,France,26,Male,0,2,4,1,1,669,197594.34,0
Nakayama,15730433,Germany,38,Female,128218.47,1,1,1,0,580,125953.83,1
Gardener,15693347,France,32,Female,0,2,5,1,1,676,75465.41,0
Aksenova,15715465,Germany,28,Male,77776.39,1,7,1,0,714,177737.07,0
Milne,15680736,Germany,72,Female,124978.19,2,6,1,1,597,7144.46,0
Onwumelu,15610765,France,29,Male,0,2,1,0,0,559,155639.76,0
Kudryashova,15650034,France,28,Female,0,1,1,1,1,564,162428.05,0
Hart,15782468,Spain,51,Male,109799.55,2,3,1,1,850,12457.76,1
Teng,15685109,France,39,Male,0,2,7,0,0,689,14917.09,0
Kruglova,15776233,Germany,61,Female,125397.21,1,8,1,0,758,182184.09,1
Palerma,15761141,Spain,71,Female,0,2,10,1,1,604,129984.2,0
Brookes,15781702,Germany,38,Male,111347.37,2,9,0,1,733,194872.97,0
Hsing,15790235,Spain,40,Male,104291.41,2,8,1,1,778,117507.11,0
Shaffer,15641416,Germany,61,Female,94867.18,2,9,1,1,732,157527.6,1
Laurie,15775234,France,24,Male,0,2,8,0,0,646,92612.88,0
Chung,15659475,France,33,Female,135703.59,2,6,0,0,597,74850.84,0
Whitfield,15642202,Germany,37,Female,106453.53,2,5,0,1,821,127413,0
Thomas,15771417,France,43,Male,132412.38,1,7,0,0,640,69584.3,1
Rioux,15585100,Germany,40,Female,124401.6,1,9,1,0,511,198814.24,1
Osonduagwuike,15700487,France,46,Male,118022.06,3,6,1,0,805,162643.15,1
Matveyev,15726589,Germany,39,Male,82531.11,1,1,1,0,540,114092.52,0
Hayward,15747503,Spain,44,Male,184552.12,1,0,1,0,705,68860.3,1
Nkemdirim,15595883,Germany,39,Male,127278.31,1,4,1,1,540,16150.34,0
Brim,15663826,Spain,66,Female,0,1,3,1,1,532,115227.02,0
Trevisano,15742820,France,45,Female,0,2,2,0,1,535,170621.55,0
Soubeiran,15624793,Germany,23,Male,184244.86,1,5,1,0,627,103099.22,0
Wilson,15597930,France,52,Male,59669.43,1,8,0,0,646,172495.81,1
Helena,15665110,France,25,Female,79543.59,1,7,0,1,515,38772.82,0
Duncan,15770719,France,39,Female,151553.19,1,6,1,1,697,44946.29,0
Hale,15731327,Germany,27,Male,166527.88,2,2,0,1,652,146007.7,0
Macdonald,15576044,Germany,28,Male,150329.15,1,6,1,0,579,145558.42,0
McKay,15775662,France,43,Male,121911.59,1,8,1,0,760,193312.33,0
Chiekwugo,15646817,France,51,Male,156773.78,2,9,1,0,769,40257.79,0
Skinner,15596060,Spain,29,Male,127864.26,1,8,1,1,498,46677.9,0
Sorokina,15723299,France,53,Male,113709.28,1,4,1,1,774,153887.93,1
Weller,15636982,Germany,43,Female,79974.55,1,7,1,1,705,103108.33,0
Bess,15751175,France,44,Female,0,2,2,1,1,648,58652.23,0
MacDonald,15618936,France,51,Female,0,1,5,1,0,688,91624.11,1
Gray,15787529,Spain,38,Male,0,1,0,1,0,592,65986.48,1
Ogbonnaya,15780128,France,33,Male,144427.96,2,3,1,0,705,113845.19,0
Udegbulam,15615991,France,42,Male,99263.09,1,7,1,1,654,67607.9,0
Mai,15757001,France,32,Female,79368.87,2,2,1,1,624,145471.94,0
Yeh,15595388,France,30,Female,0,2,10,1,1,594,124071.71,0
Babbage,15699550,Spain,34,Female,0,2,9,1,1,695,67502.12,0
Franklin,15581620,France,28,Male,0,3,2,1,1,597,78707.97,0
Randell,15600934,France,52,Female,125095.94,1,7,1,0,758,171189.83,1
Paterson,15738672,Germany,40,Female,162485.8,2,2,1,0,737,149381.32,0
Pickering,15721307,Germany,37,Male,95668.82,2,1,1,0,694,100335.55,0
Uspensky,15619280,France,25,Male,0,2,4,1,0,683,152698.24,0
Macleod,15768244,Spain,30,Female,0,2,8,1,1,538,41192.95,0
Nnaife,15806837,France,37,Male,0,1,4,1,0,669,132540.33,0
Randolph,15643496,France,34,Female,74197.38,2,5,1,0,730,96875.52,0
Kudryashova,15813916,France,31,Female,89688.94,1,1,1,1,622,152305.47,0
George,15626385,Spain,33,Female,103121.33,2,10,1,1,714,49672.01,0
Robertson,15603582,Spain,34,Female,0,1,3,1,0,569,133997.53,0
Yuryeva,15764351,Germany,59,Female,120170.07,1,5,0,1,668,50454.8,0
Hurst,15667938,France,32,Male,149136.31,2,9,1,1,628,16402.11,0
Ch'iu,15576360,France,40,Male,141136.79,1,1,1,1,600,67803.83,0
King,15628813,France,43,Female,152341.55,1,4,1,0,693,9241.78,0
Esposito,15584190,France,36,Male,120026.98,2,7,0,1,704,100601.73,0
Fraser,15716449,Spain,33,Male,132168.28,1,9,0,0,527,98734.15,0
Trentini,15759913,Germany,43,Male,85200.82,2,6,1,1,553,160574.09,0
Nicholls,15701555,Spain,53,Male,84903.33,2,1,0,1,575,26015.8,0
Montalvo,15758482,France,32,Female,0,2,0,0,0,626,187172.54,0
Tien,15758171,France,20,Male,0,1,4,1,1,582,55763.66,0
Chuang,15680346,Spain,40,Male,0,1,8,1,0,683,75848.22,0
Fang,15649124,France,30,Male,121535.18,1,9,0,0,850,40313.47,0
Kosisochukwu,15812917,Spain,35,Male,116662.96,2,6,1,1,653,23864.21,0
Young,15768455,France,60,Male,0,2,8,1,1,679,51380.9,0
Scott,15703059,Germany,49,Female,124829.16,1,6,0,1,549,93551.36,0
Yeh,15646196,Spain,36,Female,155180.56,2,2,0,0,850,169415.54,0
Vigano,15585451,Germany,32,Female,108262.87,1,1,1,1,558,6935.31,0
Windradyne,15714057,Spain,40,Male,0,2,4,1,0,528,25399.7,0
Curnow,15748473,France,38,Male,0,2,5,1,0,801,66256.27,0
Ugonna,15785782,Spain,48,Male,0,1,2,1,1,513,114709.13,1
De Neeve,15693233,Germany,38,Male,99812.88,2,6,1,1,666,158357.97,0
Ricci,15757521,France,35,Male,132164.26,1,2,0,1,606,164815.59,0
Nnaife,15812513,Germany,45,Male,103583.05,1,10,1,0,599,132127.69,1
Ebelechukwu,15674950,Germany,39,Male,142406.43,2,4,1,0,544,146637.45,0
Keating,15678572,Spain,38,Male,99842.5,2,7,1,0,529,90256.06,1
Tuan,15713608,France,41,Female,0,2,5,1,1,850,34827.43,0
Shearston,15579262,France,41,Male,0,1,9,0,0,497,22074.48,0
Tien,15610426,France,39,Female,81042.42,1,5,0,1,764,109805.17,0
Hamilton,15776454,France,48,Female,0,1,5,1,0,603,100478.6,1
Arnold,15771483,France,40,Male,0,2,6,1,1,609,97416.34,0
Ting,15648489,France,53,Male,199689.49,1,4,1,1,487,24207.86,1
Chao,15646609,France,33,Male,142645.43,1,1,0,0,748,69132.66,0
Powell,15693203,Spain,75,Female,0,2,5,1,1,710,9376.89,0
Williams,15813067,Germany,45,Female,110219.14,1,3,1,0,432,43046.7,1
Cheng,15769829,Spain,51,Male,0,2,3,0,1,534,20856.31,0
Zhdanova,15662434,France,25,Male,0,2,3,0,0,607,187048.72,0
Tsai,15773503,Spain,32,Male,0,2,4,1,0,551,53420.53,0
Nebechukwu,15705890,France,45,Male,142072.02,1,7,1,0,674,37013.29,0
Fetherstonhaugh,15711398,France,25,Female,0,2,6,1,0,525,89566.64,0
Ojiofor,15752375,Germany,33,Male,149564.61,1,8,0,0,645,149913.84,0
Severson,15659175,France,43,Female,0,2,9,1,0,755,18066.69,0
Speight,15597033,Germany,37,Male,153366.13,1,8,1,1,708,26912.34,0
Greenwalt,15590228,France,21,Male,76467.16,1,6,1,1,715,173511.72,0
Grover,15631848,France,26,Female,121508.28,1,9,1,1,727,146785.44,0
Milani,15654211,Spain,27,Female,0,1,1,0,1,559,1050.33,0
Akobundu,15707968,Spain,36,Male,73211.12,2,8,1,0,545,89587.34,1
Anderson,15594084,France,22,Male,0,2,9,1,0,524,74405.34,0
Chien,15651093,France,55,Female,0,2,1,0,1,707,54409.48,0
Kennedy,15798824,Spain,38,Male,92674.94,2,0,1,0,671,3647.57,0
Castiglione,15671591,Spain,52,Male,96196.24,4,3,1,0,439,198874.52,1
Marshall,15707189,Germany,36,Female,114391.62,1,1,1,1,667,53412.54,0
Duncan,15733581,Germany,32,Male,80262.66,1,9,1,0,831,194867.78,0
Uspenskaya,15641640,Spain,33,Female,173331.52,1,7,1,0,545,150452.88,0
Thomson,15585284,Spain,35,Female,147285.52,1,7,1,1,604,57807.05,0
Calabrese,15617866,Spain,67,Male,119785.47,2,5,1,1,657,107534.32,0
Herrera,15667751,Spain,36,Female,140137.15,1,1,1,0,487,194073.33,0
Muse,15669411,Germany,52,Female,107467.56,1,6,1,0,750,126233.18,1
Marsden,15789425,Germany,37,Female,98218.04,2,8,1,0,694,182354.46,1
Artemyeva,15570943,Germany,35,Female,133607.75,1,2,1,1,711,120586.32,0
McKay,15685829,France,37,Male,0,2,3,1,1,551,50578.4,0
Chuang,15721917,France,38,Female,95139.41,1,8,1,1,559,86575.46,0
Nicholls,15776047,France,29,Female,0,2,3,0,1,620,153392.28,0
Dennis,15716024,Spain,42,Male,0,2,5,1,0,660,115509.59,0
Knight,15675328,France,37,Female,0,2,6,1,0,449,82176.48,0
Webb,15604314,Germany,26,Female,97331.19,1,1,1,0,703,63717.49,0
Pugliesi,15658339,Germany,37,Male,139265.63,2,2,1,1,795,198745.94,0
Nebechukwu,15630402,France,31,Female,0,1,9,0,1,594,5719.11,0
Ward,15689616,Spain,34,Male,168094.01,1,5,0,0,586,20058.61,0
Nixon,15774224,Germany,30,Female,131563.88,2,5,1,0,613,170638.98,0
Chidubem,15701291,France,44,Male,0,2,3,1,0,601,30607.11,0
Rivers,15719606,France,50,Male,0,2,9,0,0,657,37171.46,0
Sochima,15644119,France,31,Male,0,1,3,1,1,531,42589.33,0
Heydon,15646859,Germany,47,Male,107363.29,1,7,1,1,621,66799.28,0
Lombardo,15606836,France,33,Female,94493.03,1,2,0,1,782,101866.39,0
Holland,15664150,Germany,29,Female,170214.23,2,9,1,0,528,49284,0
Tien,15624510,France,52,Male,139781.06,1,6,1,0,696,27445.4,1
Bryant,15810944,France,35,Female,0,2,7,1,0,586,70760.69,0
Hao,15668575,Spain,26,Female,148610.41,3,8,0,1,626,104502.02,1
Genovesi,15603246,France,73,Male,170241.7,2,2,1,1,498,165407.96,0
Kovalev,15804002,France,33,Female,128306.83,1,1,1,1,691,113580.79,0
Hsieh,15728773,France,47,Female,0,2,7,1,1,568,45978.39,0
Debellis,15598044,France,35,Female,0,1,3,1,1,715,152012.36,0
Chibueze,15694829,Germany,32,Male,175454,1,7,0,1,680,77349.92,0
Padovano,15600575,Spain,41,Male,0,2,6,1,0,802,47322.05,0
Yen,15727311,France,22,Female,100885.93,2,0,1,1,539,38772.65,0
Kibble,15570769,France,69,Male,93320.8,1,9,1,1,494,24489.44,0
Lori,15606274,Germany,38,Male,63176.44,2,6,1,1,594,14466.08,0
Enemuo,15746139,France,33,Male,139451.67,1,2,0,0,596,63142.12,0
Lu,15704987,France,52,Female,49113.75,1,8,1,0,649,41858.43,0
Nebeolisa,15628972,Germany,32,Male,123906.22,3,1,1,1,699,127443.82,1
Stewart,15697686,France,40,Female,0,2,6,1,1,787,84151.98,0
Ward,15733883,France,28,Male,0,2,7,0,0,604,58595.64,0
Milanesi,15617482,Germany,52,Female,131441.51,1,1,1,0,489,37240.11,1
Chikwado,15704583,France,56,Male,0,1,2,1,0,651,114522.68,1
Douglas,15621083,France,57,Male,136325.48,2,6,1,1,698,72549.27,1
Sal,15649487,Germany,38,Female,113150.44,2,4,1,0,578,176712.59,1
Douglas,15736760,Spain,42,Female,0,1,9,0,0,538,152855.96,0
Yates,15714658,France,33,Female,0,2,4,1,1,696,73371.65,0
Watt,15599081,Germany,46,Female,102785.16,1,8,1,1,507,70323.68,0
P'an,15705113,Spain,34,Male,83264.28,1,6,0,0,685,9663.28,0
H?,15631159,Germany,41,Male,72252.64,2,4,1,1,705,142514.66,0
Perry,15792818,Germany,29,Female,148051.52,1,6,1,0,499,118623.94,0
Lavrov,15633531,France,76,Female,138489.66,1,9,1,1,717,68400.14,0
Chiekwugo,15744529,France,63,Male,0,2,8,1,1,510,115291.86,0
Macdonald,15669656,France,32,Male,111589.33,1,6,1,1,632,170382.99,0
Jenkins,15581198,Germany,39,Female,122104.79,1,0,1,0,668,112946.67,1
Korovina,15729054,Germany,32,Male,96106.83,1,4,1,1,744,79812.77,0
Manning,15573452,Germany,42,Male,115930.87,1,7,1,0,663,19862.78,0
Wilson,15776733,Germany,37,Female,124513.66,2,7,1,0,638,158610.89,0
Begum,15724858,France,54,Female,0,1,9,1,0,688,191212.63,1
Ingrassia,15713144,Spain,46,Male,0,1,8,1,0,588,61931.21,0
Maclean,15690188,France,33,Male,0,1,7,1,1,631,58043.02,1
Olejuru,15689425,Spain,35,Male,100988.39,2,8,1,0,687,22247.27,0
Enyinnaya,15671766,France,44,Male,118577.24,1,10,1,1,599,31448.52,0
Watson,15782806,Spain,28,Male,0,2,6,1,0,718,146875.86,0
Langdon,15764419,France,27,Male,0,2,5,1,1,730,116081.93,0
Frolov,15591915,France,39,Female,0,1,2,0,1,533,73669.94,1
Chikezie,15772798,Spain,28,Female,0,2,5,1,1,711,93959.96,0
Zetticci,15792008,Spain,26,Female,0,2,9,0,1,555,158918.03,0
Yang,15715541,France,42,Female,113311.11,1,9,1,1,850,198193.75,0
Lin,15639277,France,41,Female,0,1,9,0,0,678,13160.03,0
Goddard,15798850,France,32,Male,0,2,7,1,0,576,4660.91,0
Rogers,15776348,Germany,20,Male,124365.42,1,4,0,0,835,180197.74,1
Zubareva,15727696,France,42,Male,147249.29,2,1,1,1,592,63023.02,0
Onochie,15793813,France,36,Male,103688.19,1,7,0,1,774,118971.74,0
Ts'ui,15694395,France,29,Female,138740.24,2,1,0,0,620,154700.61,0
Newsom,15764195,Spain,39,Male,111900.14,1,4,1,1,519,97577.17,0
Genovese,15744919,Spain,37,Female,152760.24,1,0,1,1,734,48990.5,0
Thorpe,15671655,Germany,31,Male,143966.3,2,7,1,1,763,140262.96,1
Horton,15654901,France,51,Male,141556.96,1,10,1,0,733,130189.53,0
Williamson,15649136,France,43,Female,0,2,6,1,1,650,16301.91,0
Shoobridge,15775562,France,33,Female,0,2,5,1,0,538,126962.41,0
Peng,15807481,France,46,Female,0,1,1,1,1,577,158750.53,0
Gray,15642885,France,30,Male,0,2,8,1,0,792,199644.2,0
Watson,15789109,France,41,Female,0,1,10,1,1,686,144272.71,1
Fyodorova,15814004,France,29,Male,0,2,2,0,1,589,98320.27,0
Bazhenov,15673619,France,25,Male,162560.32,1,9,1,0,530,64129.03,0
Solomon,15595135,Germany,29,Female,123229.46,1,7,1,0,778,181221.09,0
Layh,15583681,Spain,31,Male,76665.71,2,7,1,1,616,163809.08,0
John,15605000,France,38,Male,140278.99,3,9,1,1,550,171457.06,1
Tuan,15718071,France,51,Female,0,2,3,0,1,655,15801.02,0
Slattery,15679760,France,46,Male,115764.32,2,1,0,0,721,102950.79,0
Onyekachi,15654574,Germany,36,Male,131142.53,2,5,1,0,499,174918.46,0
Genovese,15577178,France,45,Male,68375.27,1,5,1,0,511,193160.25,1
Daniels,15595324,Germany,39,Female,117833.3,3,5,0,0,579,5831,1
Caldwell,15756932,Spain,36,Female,0,2,7,1,1,696,82298.59,0
Chiemenam,15726358,France,34,Male,0,2,7,0,0,681,130686.59,0
Wanliss,15595228,France,45,Male,0,1,7,0,1,815,52885.23,1
Bruce,15782530,Spain,30,Male,111093.01,1,2,1,0,681,68985.99,0
Wright,15592877,Spain,42,Male,132657.55,1,9,1,0,641,35367.19,0
Fang,15651983,France,56,Female,128882.49,1,9,1,1,591,196241.94,1
Eames,15746737,Germany,59,Male,69129.59,1,9,1,1,565,170705.53,0
Sutherland,15774179,France,37,Male,0,2,6,1,1,487,126477.41,0
Cavenagh,15667265,France,39,Male,121404.64,1,4,1,1,729,159618.17,0
Dumetolisa,15655123,Spain,45,Female,131355.3,3,9,1,0,505,195395.33,1
Mackay,15595917,France,35,Female,102097.33,1,1,0,1,580,168285.85,0
Dellucci,15668385,France,40,Male,154863.15,1,1,1,1,642,138052.51,0
Kenyon,15709476,Spain,41,Female,99945.93,2,3,1,0,850,71179.31,0
Parry,15711218,Germany,39,Male,121704.32,2,2,1,0,616,55556.3,0
Kennedy,15798659,Spain,43,Female,0,2,3,1,0,526,31705.19,0
Arnott,15663939,Germany,35,Male,138782.76,1,8,1,1,523,186118.93,0
Hanson,15694946,France,35,Male,0,2,9,1,1,663,195580.28,0
T'ao,15631912,France,30,Male,136291.71,1,8,1,0,840,54113.38,0
Shen,15768816,Germany,42,Male,107856.57,2,0,1,0,570,127528.84,0
Steere,15682268,Germany,26,Female,108348.66,1,1,0,0,676,60231.74,1
Abbott,15684801,France,47,Male,93871.95,3,1,1,0,689,156878.42,1
Sutherland,15636428,Spain,45,Female,0,1,1,1,0,703,182784.11,1
Thurgood,15809823,Germany,19,Male,125860.2,1,2,0,0,491,129690.5,0
Johnson,15699284,France,49,Male,172713.44,1,8,1,0,584,113860.81,0
Lung,15786993,France,51,Female,0,2,5,0,1,810,184524.74,0
Cocci,15709441,Spain,59,Female,0,1,8,1,1,745,36124.98,0
Matveyeva,15710257,France,39,Female,130786.92,1,3,0,1,625,121316.07,0
Moore,15582492,France,29,Female,112367.34,1,2,1,0,535,185630.76,0
Yobachukwu,15575694,Spain,45,Female,91091.06,2,7,1,0,729,71133.12,0
Fleming,15756820,France,26,Female,106198.5,1,7,0,1,655,32020.42,0
Dickinson,15766289,France,47,Male,142669.93,2,5,1,0,751,162760.96,0
Evseyev,15593014,France,33,Male,112833.35,1,1,0,1,525,175178.56,0
Aksenov,15584545,France,40,Female,0,2,5,0,1,532,177099.71,0
Fleming,15675949,Spain,43,Female,0,2,4,1,1,696,66406.37,0
Ulyanov,15672091,Germany,32,Female,104336.43,2,2,0,0,786,59559.81,0
Summers,15801658,France,55,Male,104305.74,1,6,0,1,580,175750.21,0
Clements,15706185,Germany,47,Male,140187.1,2,5,1,1,596,174311.3,0
Kazakova,15789863,France,39,Male,0,2,4,1,0,683,171716.81,0
Pirozzi,15720943,France,45,Female,114959.12,1,1,1,0,747,189362.39,1
Jamieson,15697997,France,33,Male,164704.38,1,5,0,1,602,180716.1,1
Ferri,15665416,France,62,Male,119096.55,1,10,0,1,779,116977.89,0
Mai,15660200,France,31,Male,0,2,1,1,1,551,185105.44,0
Hannaford,15619653,France,47,Male,0,1,2,1,0,666,35046.97,1
Fomin,15773447,Spain,30,Male,0,1,8,1,0,526,36251,0
Mahon,15739160,France,41,Female,115465.28,1,9,1,0,849,103174.5,0
Shaw,15689237,France,27,Female,0,2,4,1,0,471,122642.09,0
Volkova,15679297,Spain,43,Male,184926.61,1,3,1,0,628,122937.57,0
Miles,15591433,Germany,43,Male,85957.88,2,8,1,0,674,8757.39,0
Madison,15642725,France,32,Male,114084.6,1,10,0,1,797,125782.29,0
Scott,15701962,Spain,29,Female,166930.76,2,2,1,0,590,122487.73,0
Voss,15811613,France,27,Female,0,1,8,1,0,588,20066.38,0
Colebatch,15741049,France,29,Male,0,2,7,1,1,577,55473.15,0
Wilson,15724423,France,38,Female,107193.82,2,6,0,0,571,38962.94,0
T'ang,15574305,France,36,Male,116275.12,1,3,1,1,680,63795.8,0
Gibson,15678168,Spain,27,Female,0,2,7,1,1,648,163060.43,0
Hs?eh,15697020,France,39,Male,91068.56,1,2,1,0,618,26578.69,0
Pan,15610801,Germany,41,Male,123049.21,1,5,0,1,648,5066.76,0
Chikelu,15745232,France,39,Female,0,2,6,1,1,759,140497.67,0
Allan,15722758,France,40,Male,0,2,7,0,0,585,146156.98,0
Yefremova,15792102,France,42,Female,137781.65,1,3,0,0,774,199316.19,0
Chuang,15675185,Germany,48,Female,108128.96,2,2,1,1,697,103944.37,0
Fan,15801247,Spain,39,Male,105317.73,2,10,1,0,605,138021.36,0
Dellucci,15725660,France,20,Male,80569.73,1,1,0,0,676,68621.98,0
Garran,15638963,France,22,Female,174852.89,1,4,1,1,678,28149.06,0
Moretti,15800061,Spain,45,Female,89158.94,3,3,1,0,495,135169.76,1
Yao,15578006,France,85,Female,0,2,10,1,1,787,116537.96,0
Lucchesi,15668504,France,36,Male,89800.14,1,2,1,1,770,105922.69,0
Nkemdilim,15687491,Germany,45,Male,101207.75,1,9,0,0,817,88211.12,1
Anderson,15610403,France,43,Male,106086.42,2,1,1,0,659,26900.63,0
Sagese,15741094,France,21,Male,0,2,1,1,1,693,3494.02,0
Rubensohn,15807909,France,47,Male,0,2,9,1,0,744,113163.17,0
Baldwin,15666141,Spain,26,Female,101440.36,2,8,1,1,829,19324.5,0
Iqbal,15617134,France,38,Male,0,2,4,1,0,716,189678.7,0
Monaldo,15783029,France,34,Male,106603.74,2,7,1,1,671,26387.71,0
Mahon,15622833,Germany,29,Female,130420.2,2,10,0,0,835,106276.55,0
Muir,15746422,France,38,Female,0,1,1,1,0,636,45015.38,0
Burns,15750839,Spain,29,Male,45022.23,1,2,1,1,649,173495.77,0
Dyer,15749130,Germany,27,Male,74298.43,1,1,1,1,621,52581.96,0
Lyons,15779862,Germany,31,Female,133003.03,1,3,0,1,658,146339.27,1
H?,15767871,Spain,48,Male,0,2,7,1,1,784,182609.97,0
Gardiner,15679651,Spain,37,Female,136689.66,1,1,1,0,783,197890.65,0
Cameron,15576219,France,32,Male,0,2,4,1,1,615,6225.63,0
Chapman,15699247,France,44,Female,0,2,5,1,1,791,123977.86,1
Taylor,15619087,France,53,Male,102520.37,1,1,1,1,762,170195.4,0
Namatjira,15605327,France,35,Male,0,2,2,1,1,607,114190.3,0
He,15610140,France,34,Female,0,2,5,1,0,601,27022.57,0
Leibius,15791174,Spain,67,Male,88382.01,1,1,0,1,540,59457,0
White,15602373,France,44,Male,115049.15,2,4,1,0,812,165038.41,0
Wall,15762605,France,58,Male,104796.54,1,1,1,1,685,154181.41,0
Moretti,15598840,France,33,Male,123082.08,1,1,1,0,680,134960.98,0
Patterson,15744279,Spain,58,Female,0,2,8,1,1,680,65708.5,0
Coppin,15670619,France,33,Female,0,2,8,0,0,631,117374.22,0
Tsao,15599533,France,43,Female,0,2,7,1,1,569,77703.19,0
Kao,15757837,Germany,33,Male,88311.48,2,3,1,1,584,177651.38,0
Stewart,15697574,France,40,Female,0,3,9,1,1,582,60954.45,0
Tuan,15578738,France,32,Male,71872.19,1,7,1,1,609,151924.9,0
Barnes,15762228,Spain,35,Male,110046.93,2,6,1,0,506,26318.73,0
Sun,15614827,France,42,Male,104430.08,1,8,1,1,503,147557.71,0
Fallaci,15789815,France,28,Female,0,2,5,1,0,503,125918.17,0
Buccho,15579781,Germany,31,Male,138653.51,1,10,1,0,806,190803.37,0
Tien,15587013,France,31,Female,102575.04,1,7,1,1,653,11043.54,0
Pirozzi,15570932,France,43,Male,137780.74,2,7,1,1,666,119100.05,1
Liu,15794661,Spain,32,Male,0,2,2,1,0,674,140579.17,0
Long,15581654,France,32,Male,0,2,7,0,1,798,37731.95,0
Scott,15644296,France,30,Female,105209.54,1,8,1,0,740,1852.58,0
Gerasimova,15614420,Germany,32,Female,109570.21,2,0,1,1,531,172049.84,0
Ifeatu,15609653,Germany,44,Female,118715.86,1,6,1,0,614,133591.11,1
De Luca,15594577,France,35,Male,0,2,10,1,1,556,192751.18,0
Ogbonnaya,15584114,Germany,43,Female,153393.18,2,2,1,1,678,193828.27,0
Humffray,15673367,Germany,33,Male,132603.36,1,6,1,0,587,55775.72,0
Degtyaryov,15685576,Spain,36,Female,0,2,6,1,1,527,102280.29,0
Monaldo,15774727,Germany,34,Female,129398.01,2,1,0,0,757,44965.44,0
